year,section,SA_4,imp_exp,partner_code,tradevalue
2015,1,0303,1,842,33402200
2015,1,0303,2,0,40385100
2015,1,0303,2,144,592478
2015,1,0303,2,156,2545690
2015,1,0303,2,170,3440480
2015,1,0303,2,268,461725
2015,1,0303,2,344,479206
2015,1,0303,2,410,598116
2015,1,0303,2,458,738337
2015,1,0303,2,704,4015970
2015,1,0303,2,724,17020600
2015,1,0303,2,842,9611630
2015,1,0304,1,0,348738000
2015,1,0304,1,152,87755700
2015,1,0304,1,156,127594000
2015,1,0304,1,704,123448000
2015,1,0304,2,0,100768000
2015,1,0304,2,724,16239900
2015,1,0304,2,842,83876400
2015,1,0305,1,0,18843100
2015,1,0305,1,124,466547
2015,1,0305,1,152,2564320
2015,1,0305,1,156,293005
2015,1,0305,1,579,14694100
2015,1,0305,1,724,382777
2015,1,0305,1,842,375574
2015,1,0305,2,0,13018000
2015,1,0305,2,344,12693200
2015,1,0305,2,842,324794
2015,1,0306,1,0,71436500
2015,1,0306,1,124,1268940
2015,1,0306,1,218,1325050
2015,1,0306,1,320,11755000
2015,1,0306,1,340,27068900
2015,1,0306,1,558,7774370
2015,1,0306,1,699,14716200
2015,1,0306,1,84,5325270
2015,1,0306,1,842,1629990
2015,1,0306,2,0,437802000
2015,1,0306,2,251,6002420
2015,1,0306,2,344,43817700
2015,1,0306,2,392,4989570
2015,1,0306,2,704,23309200
2015,1,0306,2,842,351968000
2015,1,0307,1,0,29996100
2015,1,0307,1,152,5324970
2015,1,0307,1,156,9847870
2015,1,0307,1,604,10993900
2015,1,0307,1,842,3094490
2015,1,0307,2,0,97174500
2015,1,0307,2,170,1108590
2015,1,0307,2,300,1407680
2015,1,0307,2,344,14411300
2015,1,0307,2,380,22701800
2015,1,0307,2,392,3121710
2015,1,0307,2,704,6815920
2015,1,0307,2,724,22180400
2015,1,0307,2,842,23911100
2015,1,0308,1,0,47853
2015,1,0308,1,36,5359
2015,1,0308,1,360,12879
2015,1,0308,1,842,29615
2015,1,0308,2,0,29016900
2015,1,0308,2,344,10288400
2015,1,0308,2,704,3240910
2015,1,0308,2,842,15487600
2015,1,0401,1,0,23174500
2015,1,0401,1,842,23174500
2015,1,0401,2,0,7731360
2015,1,0401,2,192,213784
2015,1,0401,2,842,7517580
2015,1,0402,1,0,587749000
2015,1,0402,1,124,8490670
2015,1,0402,1,554,16471000
2015,1,0402,1,842,536055000
2015,1,0402,1,858,8954270
2015,1,0402,2,0,51280800
2015,1,0402,2,192,12844300
2015,1,0402,2,320,809574
2015,1,0402,2,340,1601230
2015,1,0402,2,84,3978570
2015,1,0402,2,842,31934300
2015,1,0403,1,0,17950200
2015,1,0403,1,842,17950200
2015,1,0403,2,0,12027600
2015,1,0403,2,320,7828660
2015,1,0403,2,842,4198950
2015,1,0404,1,0,97944400
2015,1,0404,1,276,2753600
2015,1,0404,1,842,94466800
2015,1,0404,2,0,153646
2015,1,0404,2,842,153646
2015,1,0405,1,0,129083000
2015,1,0405,1,152,5495610
2015,1,0405,1,36,2886320
2015,1,0405,1,554,112436000
2015,1,0405,1,842,6285590
2015,1,0405,2,0,30791200
2015,1,0405,2,192,1489850
2015,1,0405,2,842,29301400
2015,1,0406,1,0,466747000
2015,1,0406,1,152,13705800
2015,1,0406,1,276,7394700
2015,1,0406,1,554,16207200
2015,1,0406,1,842,380118000
2015,1,0406,1,858,35274200
2015,1,0406,2,0,17725000
2015,1,0406,2,192,369731
2015,1,0406,2,222,331458
2015,1,0406,2,320,2379920
2015,1,0406,2,842,14643800
2015,1,0407,1,0,179531000
2015,1,0407,1,76,4497590
2015,1,0407,1,842,175033000
2015,1,0407,2,0,5489610
2015,1,0407,2,842,5489610
2015,1,0409,2,0,135412000
2015,1,0409,2,276,76658300
2015,1,0409,2,392,1962940
2015,1,0409,2,56,9412420
2015,1,0409,2,682,13027300
2015,1,0409,2,724,2889500
2015,1,0409,2,757,8860070
2015,1,0409,2,842,21400800
2015,1,0502,1,0,1301780
2015,1,0502,1,156,1301780
2015,1,0504,1,0,224793000
2015,1,0504,1,124,20796300
2015,1,0504,1,842,202598000
2015,1,0504,2,0,13955400
2015,1,0504,2,156,236185
2015,1,0504,2,344,3881720
2015,1,0504,2,392,7630430
2015,1,0504,2,704,1705540
2015,1,0504,2,842,501572
2015,1,0505,1,0,1572520
2015,1,0505,1,156,180505
2015,1,0505,1,842,1392010
2015,1,0506,2,0,1327870
2015,1,0506,2,392,628959
2015,1,0506,2,842,698914
2015,1,0507,1,0,3203
2015,1,0507,1,120,3203
2015,1,0508,1,0,142724
2015,1,0508,1,156,3824
2015,1,0508,1,608,23994
2015,1,0508,1,699,15485
2015,1,0508,1,764,85696
2015,1,0508,1,842,13725
2015,1,0508,2,0,825757
2015,1,0508,2,842,825757
2015,1,0510,2,0,273647
2015,1,0510,2,842,273647
2015,1,0511,1,0,39397600
2015,1,0511,1,124,4371940
2015,1,0511,1,152,892843
2015,1,0511,1,528,632137
2015,1,0511,1,724,733213
2015,1,0511,1,842,32161200
2015,1,0511,2,0,13552700
2015,1,0511,2,344,1439770
2015,1,0511,2,842,12112900
2015,2,0601,1,0,37335200
2015,2,0601,1,152,4154320
2015,2,0601,1,251,573187
2015,2,0601,1,528,31850600
2015,2,0601,1,842,757077
2015,2,0601,2,0,86499
2015,2,0601,2,842,86499
2015,2,0602,1,0,51682600
2015,2,0602,1,152,1508080
2015,2,0602,1,251,965100
2015,2,0602,1,528,4292360
2015,2,0602,1,724,1284240
2015,2,0602,1,842,42849900
2015,2,0602,2,0,16302900
2015,2,0602,2,124,3159550
2015,2,0602,2,156,401321
2015,2,0602,2,842,12462500
2015,2,0603,1,0,1662850
2015,2,0603,1,170,220291
2015,2,0603,1,528,1324540
2015,2,0603,1,842,118019
2015,2,0603,2,0,34650300
2015,2,0603,2,124,1102870
2015,2,0603,2,842,33547400
2015,2,0604,1,0,23733100
2015,2,0604,1,156,525612
2015,2,0604,1,842,23126400
2015,2,0604,2,0,21978800
2015,2,0604,2,528,12958900
2015,2,0604,2,842,8540330
2015,2,0701,1,0,46174300
2015,2,0701,1,842,46174300
2015,2,0701,2,0,512313
2015,2,0701,2,84,512313
2015,2,0702,1,0,18033300
2015,2,0702,1,842,18033300
2015,2,0702,2,0,1833890000
2015,2,0702,2,842,1821760000
2015,2,0703,1,0,64776400
2015,2,0703,1,152,21937400
2015,2,0703,1,32,5363820
2015,2,0703,1,604,3847040
2015,2,0703,1,842,33628100
2015,2,0703,2,0,450386000
2015,2,0703,2,320,48316600
2015,2,0703,2,842,397531000
2015,2,0704,1,0,4753580
2015,2,0704,1,842,4753580
2015,2,0704,2,0,299032000
2015,2,0704,2,124,7496640
2015,2,0704,2,842,290092000
2015,2,0705,1,0,15487400
2015,2,0705,1,842,15487400
2015,2,0705,2,0,140305000
2015,2,0705,2,842,139262000
2015,2,0706,2,0,60496300
2015,2,0706,2,124,750211
2015,2,0706,2,842,59522600
2015,2,0707,2,0,436981000
2015,2,0707,2,842,434882000
2015,2,0708,2,0,75016500
2015,2,0708,2,124,3581750
2015,2,0708,2,842,71422200
2015,2,0709,1,0,20400700
2015,2,0709,1,604,2028700
2015,2,0709,1,842,18372000
2015,2,0709,2,0,1862690000
2015,2,0709,2,392,19024300
2015,2,0709,2,842,1834100000
2015,2,0710,1,0,25930900
2015,2,0710,1,124,334833
2015,2,0710,1,156,1372170
2015,2,0710,1,724,264306
2015,2,0710,1,842,23862600
2015,2,0710,2,0,420562000
2015,2,0710,2,124,5123140
2015,2,0710,2,842,411499000
2015,2,0711,1,0,1710370
2015,2,0711,1,504,343251
2015,2,0711,1,724,662298
2015,2,0711,1,842,691094
2015,2,0711,2,0,7135070
2015,2,0711,2,842,7135070
2015,2,0712,1,0,25211900
2015,2,0712,1,152,512807
2015,2,0712,1,156,7640720
2015,2,0712,1,376,283844
2015,2,0712,1,699,1910260
2015,2,0712,1,724,425351
2015,2,0712,1,818,333524
2015,2,0712,1,842,13770500
2015,2,0712,2,0,7672880
2015,2,0712,2,124,444789
2015,2,0712,2,222,561358
2015,2,0712,2,320,548898
2015,2,0712,2,842,6022140
2015,2,0713,1,0,123328000
2015,2,0713,1,124,24477900
2015,2,0713,1,156,3882130
2015,2,0713,1,842,94935300
2015,2,0713,2,0,166993000
2015,2,0713,2,12,12315600
2015,2,0713,2,170,7162490
2015,2,0713,2,188,1901790
2015,2,0713,2,192,1683400
2015,2,0713,2,24,4869800
2015,2,0713,2,380,6405530
2015,2,0713,2,422,4346880
2015,2,0713,2,586,2474390
2015,2,0713,2,604,7447970
2015,2,0713,2,620,4300090
2015,2,0713,2,699,7593680
2015,2,0713,2,724,29051400
2015,2,0713,2,76,4457940
2015,2,0713,2,792,29503300
2015,2,0713,2,842,35638200
2015,2,0714,1,0,1289340
2015,2,0714,1,842,1289340
2015,2,0714,2,0,16624900
2015,2,0714,2,124,288145
2015,2,0714,2,842,16336800
2015,2,0801,1,0,8906140
2015,2,0801,1,144,410326
2015,2,0801,1,608,1233200
2015,2,0801,1,704,601583
2015,2,0801,1,76,6620620
2015,2,0801,2,0,13549700
2015,2,0801,2,842,13549700
2015,2,0802,1,0,260473000
2015,2,0802,1,156,3084160
2015,2,0802,1,792,25020300
2015,2,0802,1,842,230317000
2015,2,0802,2,0,391689000
2015,2,0802,2,344,34111200
2015,2,0802,2,842,357289000
2015,2,0803,1,0,127969
2015,2,0803,1,218,3801
2015,2,0803,1,608,124168
2015,2,0803,2,0,180338000
2015,2,0803,2,251,2610150
2015,2,0803,2,380,1883100
2015,2,0803,2,392,1842230
2015,2,0803,2,528,7752980
2015,2,0803,2,724,11221300
2015,2,0803,2,8,2651560
2015,2,0803,2,826,5760040
2015,2,0803,2,842,141177000
2015,2,0804,1,0,9791740
2015,2,0804,1,218,1059660
2015,2,0804,1,764,1835670
2015,2,0804,1,788,128080
2015,2,0804,1,792,317340
2015,2,0804,1,842,6387980
2015,2,0804,2,0,2004880000
2015,2,0804,2,124,136906000
2015,2,0804,2,156,24361200
2015,2,0804,2,392,106990000
2015,2,0804,2,842,1624970000
2015,2,0805,1,0,13721400
2015,2,0805,1,842,13721400
2015,2,0805,2,0,385009000
2015,2,0805,2,251,5129480
2015,2,0805,2,528,13949500
2015,2,0805,2,826,8203000
2015,2,0805,2,842,349218000
2015,2,0806,1,0,161139000
2015,2,0806,1,152,47001400
2015,2,0806,1,604,3445040
2015,2,0806,1,699,2057130
2015,2,0806,1,842,108635000
2015,2,0806,2,0,160911000
2015,2,0806,2,842,157051000
2015,2,0807,1,0,7459170
2015,2,0807,1,842,7459170
2015,2,0807,2,0,513139000
2015,2,0807,2,392,12646200
2015,2,0807,2,842,500413000
2015,2,0808,1,0,373949000
2015,2,0808,1,842,368339000
2015,2,0808,2,0,493639
2015,2,0808,2,84,455509
2015,2,0808,2,842,38130
2015,2,0809,1,0,62467900
2015,2,0809,1,152,16850200
2015,2,0809,1,842,45617700
2015,2,0809,2,0,51426
2015,2,0809,2,84,24804
2015,2,0809,2,842,26622
2015,2,0810,1,0,44164100
2015,2,0810,1,842,44164100
2015,2,0810,2,0,544922000
2015,2,0810,2,392,7348890
2015,2,0810,2,826,6624500
2015,2,0810,2,842,507798000
2015,2,0811,1,0,19073500
2015,2,0811,1,152,2076570
2015,2,0811,1,156,3536250
2015,2,0811,1,842,13184000
2015,2,0811,2,0,301122000
2015,2,0811,2,124,35153300
2015,2,0811,2,392,4562380
2015,2,0811,2,528,3389200
2015,2,0811,2,56,3764140
2015,2,0811,2,842,243216000
2015,2,0812,1,0,5006030
2015,2,0812,1,100,225850
2015,2,0812,1,380,1373870
2015,2,0812,1,842,3406310
2015,2,0812,2,0,34348
2015,2,0812,2,842,34348
2015,2,0813,1,0,49211400
2015,2,0813,1,152,28405700
2015,2,0813,1,156,2287530
2015,2,0813,1,792,1013710
2015,2,0813,1,842,16899500
2015,2,0813,2,0,13969600
2015,2,0813,2,170,141810
2015,2,0813,2,842,13775700
2015,2,0814,1,0,55498
2015,2,0814,1,842,55498
2015,2,0814,2,0,30357100
2015,2,0814,2,208,15841600
2015,2,0814,2,276,14222500
2015,2,0901,1,0,120867000
2015,2,0901,1,340,21440000
2015,2,0901,1,380,3003930
2015,2,0901,1,604,2448080
2015,2,0901,1,704,8366610
2015,2,0901,1,724,3258590
2015,2,0901,1,76,48568800
2015,2,0901,1,842,32784400
2015,2,0901,2,0,362101000
2015,2,0901,2,124,10280700
2015,2,0901,2,192,7101250
2015,2,0901,2,251,11048900
2015,2,0901,2,276,12069400
2015,2,0901,2,36,5004800
2015,2,0901,2,380,5724470
2015,2,0901,2,392,6658410
2015,2,0901,2,56,23039200
2015,2,0901,2,724,32662200
2015,2,0901,2,826,9075750
2015,2,0901,2,842,227157000
2015,2,0902,1,0,9295700
2015,2,0902,1,124,867333
2015,2,0902,1,144,688039
2015,2,0902,1,156,2059420
2015,2,0902,1,251,182337
2015,2,0902,1,276,534665
2015,2,0902,1,32,441208
2015,2,0902,1,392,201712
2015,2,0902,1,616,865255
2015,2,0902,1,699,180723
2015,2,0902,1,842,2971670
2015,2,0902,2,0,577329
2015,2,0902,2,320,19605
2015,2,0902,2,842,557676
2015,2,0903,1,0,459838
2015,2,0903,1,32,308147
2015,2,0903,1,76,151592
2015,2,0904,1,0,109635000
2015,2,0904,1,152,1444700
2015,2,0904,1,156,25713900
2015,2,0904,1,604,27745800
2015,2,0904,1,699,26439500
2015,2,0904,1,704,3994570
2015,2,0904,1,724,2152550
2015,2,0904,1,76,14689500
2015,2,0904,1,842,6325180
2015,2,0904,2,0,69409800
2015,2,0904,2,124,214707
2015,2,0904,2,170,477977
2015,2,0904,2,214,1047410
2015,2,0904,2,218,580670
2015,2,0904,2,251,457412
2015,2,0904,2,276,3291230
2015,2,0904,2,320,419873
2015,2,0904,2,392,291457
2015,2,0904,2,414,352750
2015,2,0904,2,422,1386680
2015,2,0904,2,428,1214900
2015,2,0904,2,528,4168880
2015,2,0904,2,604,659080
2015,2,0904,2,643,1715890
2015,2,0904,2,699,299815
2015,2,0904,2,724,999874
2015,2,0904,2,760,263925
2015,2,0904,2,818,1162150
2015,2,0904,2,826,801786
2015,2,0904,2,842,48745000
2015,2,0905,1,0,2093
2015,2,0905,1,842,2093
2015,2,0905,2,0,451117
2015,2,0905,2,276,62406
2015,2,0905,2,842,247969
2015,2,0905,2,899,140742
2015,2,0906,1,0,61647900
2015,2,0906,1,144,58451300
2015,2,0906,1,360,1382010
2015,2,0906,1,842,1264970
2015,2,0906,2,0,1360170
2015,2,0906,2,320,66961
2015,2,0906,2,842,1286780
2015,2,0907,1,0,5797910
2015,2,0907,1,144,370020
2015,2,0907,1,360,876941
2015,2,0907,1,450,1999750
2015,2,0907,1,76,2522030
2015,2,0907,2,0,17443
2015,2,0907,2,842,17443
2015,2,0908,1,0,488413
2015,2,0908,1,320,7175
2015,2,0908,1,360,110654
2015,2,0908,1,699,153809
2015,2,0908,1,724,36698
2015,2,0908,1,842,180077
2015,2,0909,1,0,4819360
2015,2,0909,1,124,464210
2015,2,0909,1,156,92027
2015,2,0909,1,32,193634
2015,2,0909,1,699,2900100
2015,2,0909,1,792,168225
2015,2,0909,1,818,131781
2015,2,0909,1,842,824961
2015,2,0909,2,0,17191
2015,2,0909,2,124,1485
2015,2,0909,2,842,15706
2015,2,0910,1,0,2999560
2015,2,0910,1,156,165062
2015,2,0910,1,392,45151
2015,2,0910,1,504,35098
2015,2,0910,1,566,393788
2015,2,0910,1,699,658325
2015,2,0910,1,724,704482
2015,2,0910,1,792,135105
2015,2,0910,1,818,143709
2015,2,0910,1,842,661689
2015,2,0910,2,0,3989290
2015,2,0910,2,124,315509
2015,2,0910,2,826,64646
2015,2,0910,2,842,3598910
2015,2,1001,1,0,1027970000
2015,2,1001,1,124,227990000
2015,2,1001,1,251,34229200
2015,2,1001,1,643,38906300
2015,2,1001,1,804,63656300
2015,2,1001,1,842,663191000
2015,2,1001,2,0,224337000
2015,2,1001,2,12,141804000
2015,2,1001,2,380,22449600
2015,2,1001,2,842,12219000
2015,2,1001,2,862,47864600
2015,2,1003,1,0,56242700
2015,2,1003,1,842,56242700
2015,2,1004,2,0,3024
2015,2,1004,2,842,3024
2015,2,1005,1,0,2403650000
2015,2,1005,1,842,2396640000
2015,2,1005,2,0,258112000
2015,2,1005,2,218,6800240
2015,2,1005,2,222,17809500
2015,2,1005,2,320,5869440
2015,2,1005,2,340,12424200
2015,2,1005,2,710,17477600
2015,2,1005,2,842,16007700
2015,2,1005,2,862,180482000
2015,2,1006,1,0,322830000
2015,2,1006,1,764,7103560
2015,2,1006,1,842,273945000
2015,2,1006,1,858,40377100
2015,2,1006,2,0,2250920
2015,2,1006,2,192,144427
2015,2,1006,2,842,2106490
2015,2,1007,2,0,482109
2015,2,1007,2,842,482109
2015,2,1008,1,0,27735200
2015,2,1008,1,124,25571900
2015,2,1008,1,842,2163320
2015,2,1008,2,0,173978
2015,2,1008,2,842,173441
2015,2,1101,1,0,69565500
2015,2,1101,1,842,69468600
2015,2,1101,2,0,21603200
2015,2,1101,2,320,17391100
2015,2,1101,2,842,4198420
2015,2,1102,1,0,18164600
2015,2,1102,1,604,250292
2015,2,1102,1,842,17748800
2015,2,1102,2,0,50939100
2015,2,1102,2,842,50400400
2015,2,1103,1,0,31238100
2015,2,1103,1,124,1064710
2015,2,1103,1,842,30129800
2015,2,1103,2,0,28927700
2015,2,1103,2,152,473645
2015,2,1103,2,170,3379070
2015,2,1103,2,188,761731
2015,2,1103,2,222,580901
2015,2,1103,2,320,7145580
2015,2,1103,2,328,901480
2015,2,1103,2,332,7961140
2015,2,1103,2,388,1617940
2015,2,1103,2,608,3045140
2015,2,1103,2,842,3044610
2015,2,1104,1,0,90934100
2015,2,1104,1,124,23519400
2015,2,1104,1,152,7143810
2015,2,1104,1,842,60131400
2015,2,1104,2,0,304973
2015,2,1104,2,842,304973
2015,2,1105,1,0,30261700
2015,2,1105,1,276,3571840
2015,2,1105,1,56,653293
2015,2,1105,1,842,26015500
2015,2,1105,2,0,169574
2015,2,1105,2,84,3032
2015,2,1105,2,842,166542
2015,2,1106,1,0,2573100
2015,2,1106,1,152,1158880
2015,2,1106,1,604,315184
2015,2,1106,1,842,1055650
2015,2,1106,2,0,250256
2015,2,1106,2,842,250256
2015,2,1107,1,0,199272000
2015,2,1107,1,124,33819100
2015,2,1107,1,56,2044800
2015,2,1107,1,842,161836000
2015,2,1108,1,0,42992100
2015,2,1108,1,152,8452900
2015,2,1108,1,251,5091090
2015,2,1108,1,276,7416760
2015,2,1108,1,528,5996270
2015,2,1108,1,76,1425110
2015,2,1108,1,764,1657690
2015,2,1108,1,842,12134900
2015,2,1108,2,0,19675400
2015,2,1108,2,170,1007880
2015,2,1108,2,188,3323130
2015,2,1108,2,192,451253
2015,2,1108,2,320,6981630
2015,2,1108,2,528,237005
2015,2,1108,2,842,7367860
2015,2,1109,1,0,4326400
2015,2,1109,1,156,3027800
2015,2,1109,1,251,784376
2015,2,1109,1,528,468034
2015,2,1109,1,842,46198
2015,2,1201,1,0,1470400000
2015,2,1201,1,842,1470400000
2015,2,1202,1,0,138978000
2015,2,1202,1,156,11640800
2015,2,1202,1,32,9269360
2015,2,1202,1,699,1852110
2015,2,1202,1,76,7950340
2015,2,1202,1,842,107791000
2015,2,1202,2,0,3820710
2015,2,1202,2,842,3820710
2015,2,1204,1,0,3601350
2015,2,1204,1,124,3601350
2015,2,1205,1,0,669881000
2015,2,1205,1,124,654627000
2015,2,1205,1,842,15253700
2015,2,1206,1,0,19238600
2015,2,1206,1,124,1403020
2015,2,1206,1,32,4858320
2015,2,1206,1,842,12977300
2015,2,1207,1,0,43580300
2015,2,1207,1,100,5077520
2015,2,1207,1,124,2430060
2015,2,1207,1,156,8164790
2015,2,1207,1,188,582191
2015,2,1207,1,600,2855570
2015,2,1207,1,699,2557020
2015,2,1207,1,842,21638900
2015,2,1207,2,0,39577900
2015,2,1207,2,156,491718
2015,2,1207,2,276,3150680
2015,2,1207,2,36,982804
2015,2,1207,2,392,7017720
2015,2,1207,2,410,1553920
2015,2,1207,2,490,681215
2015,2,1207,2,528,4394230
2015,2,1207,2,604,554650
2015,2,1207,2,702,1067760
2015,2,1207,2,764,760671
2015,2,1207,2,842,17794700
2015,2,1208,1,0,2054240
2015,2,1208,1,124,62208
2015,2,1208,1,842,1992030
2015,2,1208,2,0,327870
2015,2,1208,2,842,327870
2015,2,1209,1,0,347615000
2015,2,1209,1,152,23150600
2015,2,1209,1,156,63496000
2015,2,1209,1,251,13623700
2015,2,1209,1,32,10709500
2015,2,1209,1,376,28704600
2015,2,1209,1,528,26034100
2015,2,1209,1,604,16969900
2015,2,1209,1,699,6388160
2015,2,1209,1,710,3789160
2015,2,1209,1,724,4907920
2015,2,1209,1,76,4880450
2015,2,1209,1,842,137610000
2015,2,1209,2,0,16452100
2015,2,1209,2,218,316763
2015,2,1209,2,320,343338
2015,2,1209,2,340,209386
2015,2,1209,2,528,2950140
2015,2,1209,2,604,245374
2015,2,1209,2,724,391748
2015,2,1209,2,842,11821100
2015,2,1210,1,0,3459730
2015,2,1210,1,203,74064
2015,2,1210,1,276,227388
2015,2,1210,1,705,459099
2015,2,1210,1,842,2699180
2015,2,1211,1,0,20467500
2015,2,1211,1,124,413318
2015,2,1211,1,152,3098340
2015,2,1211,1,156,883133
2015,2,1211,1,604,398658
2015,2,1211,1,699,6278380
2015,2,1211,1,724,213993
2015,2,1211,1,729,6738840
2015,2,1211,1,757,369941
2015,2,1211,1,818,234487
2015,2,1211,1,842,1107780
2015,2,1211,2,0,53074600
2015,2,1211,2,124,4079990
2015,2,1211,2,152,385547
2015,2,1211,2,156,513339
2015,2,1211,2,170,163797
2015,2,1211,2,276,1879240
2015,2,1211,2,320,112507
2015,2,1211,2,36,105262
2015,2,1211,2,392,137884
2015,2,1211,2,528,630239
2015,2,1211,2,724,1039470
2015,2,1211,2,826,834118
2015,2,1211,2,842,42445000
2015,2,1212,1,0,6444290
2015,2,1212,1,124,228718
2015,2,1212,1,156,4058230
2015,2,1212,1,392,393006
2015,2,1212,1,410,72583
2015,2,1212,1,724,808732
2015,2,1212,1,842,861590
2015,2,1212,2,0,1351620
2015,2,1212,2,392,139096
2015,2,1212,2,724,81183
2015,2,1212,2,826,71218
2015,2,1212,2,842,1060120
2015,2,1213,2,0,1199730
2015,2,1213,2,842,1199730
2015,2,1214,2,0,13747400
2015,2,1214,2,784,316682
2015,2,1214,2,842,13430700
2015,2,1301,1,0,6618490
2015,2,1301,1,251,2756210
2015,2,1301,1,276,826369
2015,2,1301,1,699,182113
2015,2,1301,1,729,521915
2015,2,1301,1,76,87265
2015,2,1301,1,826,145932
2015,2,1301,1,842,2070180
2015,2,1301,2,0,31397
2015,2,1301,2,188,24640
2015,2,1301,2,842,6757
2015,2,1302,1,0,105386000
2015,2,1302,1,152,9542100
2015,2,1302,1,156,6175770
2015,2,1302,1,208,8566090
2015,2,1302,1,251,8039400
2015,2,1302,1,276,7209990
2015,2,1302,1,380,3532890
2015,2,1302,1,699,5364790
2015,2,1302,1,724,11931300
2015,2,1302,1,76,968771
2015,2,1302,1,842,40515800
2015,2,1302,2,0,106215000
2015,2,1302,2,152,1326010
2015,2,1302,2,156,7915590
2015,2,1302,2,208,4305620
2015,2,1302,2,251,1453230
2015,2,1302,2,276,1196580
2015,2,1302,2,36,1311150
2015,2,1302,2,392,9134520
2015,2,1302,2,410,2449650
2015,2,1302,2,704,1719160
2015,2,1302,2,764,2605780
2015,2,1302,2,842,68210000
2015,2,1401,1,0,882767
2015,2,1401,1,156,751247
2015,2,1401,1,702,129802
2015,2,1404,1,0,1658580
2015,2,1404,1,144,113099
2015,2,1404,1,156,32023
2015,2,1404,1,528,51956
2015,2,1404,1,604,1106490
2015,2,1404,1,699,346732
2015,2,1404,2,0,5473860
2015,2,1404,2,124,75652
2015,2,1404,2,156,2459200
2015,2,1404,2,276,956256
2015,2,1404,2,380,744248
2015,2,1404,2,56,616346
2015,2,1404,2,724,80526
2015,2,1404,2,752,113120
2015,2,1404,2,757,399555
2015,3,1501,1,0,20794500
2015,3,1501,1,842,20794500
2015,3,1501,2,0,133577
2015,3,1501,2,124,3181
2015,3,1501,2,842,130396
2015,3,1502,2,0,83633
2015,3,1502,2,392,74968
